key,time,round_time
99930041869709,0.723753213882446,0.72
99930041869709,0.712660551071167,0.71
99930041869709,0.709033489227295,0.71
99930041869709,0.74368691444397,0.74
99930041869709,0.751854419708252,0.75
99930041869709,0.72214412689209,0.72
99930041869709,0.757335424423218,0.76
99930041869709,0.921211004257202,0.92
99930041869709,0.764245510101318,0.76
99930041869709,0.737505674362183,0.74
99930041869709,0.765727519989014,0.77
99930041869709,0.851973056793213,0.85
99930041869709,0.982379913330078,0.98
99930041869709,0.831243753433227,0.83
99930041869709,0.878905296325684,0.88
99930041869709,0.792367935180664,0.79
99930041869709,0.726181268692017,0.73
99930041869709,0.730874061584473,0.73
99930158950793,0.763512849807739,0.76
99930384278071,0.87660813331604,0.88
99930384278071,0.772714614868164,0.77
99930384278071,0.789934396743774,0.79
99930384278071,0.779418230056763,0.78
99930384278071,0.790197849273681,0.79
99930384278071,0.833363771438599,0.83
99930384278071,0.846046209335327,0.85
99930384278071,0.781256437301636,0.78
99930384278071,0.83324146270752,0.83
99930384278071,0.790709257125855,0.79
99930384278071,0.784101486206055,0.78
99930384278071,0.798126220703125,0.8
99930384278071,0.793591260910034,0.79
99930384278071,0.780905723571777,0.78
99930384278071,0.784524917602539,0.78
99930384278071,0.762093305587769,0.76
99930384278071,0.777804613113403,0.78
99930384278071,1.07554459571838,1.08
99930384278071,0.94572639465332,0.95
99930384278071,0.735190629959106,0.74
99930384278071,0.733638763427734,0.73
99930384278071,0.737889528274536,0.74
99930384278071,0.737085103988647,0.74
99930384278071,0.7396080493927,0.74
99930384278071,0.739361524581909,0.74
99930384278071,0.756265878677368,0.76
99930384278071,0.772615432739258,0.77
99930384278071,0.759839296340942,0.76
99930384278071,0.782174110412598,0.78
99930384278071,0.763863086700439,0.76
99930384278071,0.741273403167725,0.74
99930384278071,0.768642663955689,0.77
99930384278071,0.774662971496582,0.77
99930384278071,0.839886903762817,0.84
99930384278071,0.749033689498901,0.75
99930384278071,0.747816801071167,0.75
99930384278071,0.758595943450928,0.76
99930384278071,0.748227596282959,0.75
99930384278071,0.763805389404297,0.76
99930384278071,0.871719121932983,0.87
99930384278071,0.890625715255737,0.89
99930384278071,1.35074663162231,1.35
99930384278071,0.818539142608643,0.82
99930384278071,0.895284414291382,0.9
99930384278071,0.895232677459717,0.9
99930384278071,0.810636520385742,0.81
99930384278071,0.790873050689697,0.79
99930384278071,0.793236970901489,0.79
99930384278071,0.745497465133667,0.75
99930384278071,0.747229099273681,0.75
99930384278071,0.754294157028198,0.75
99930384278071,0.744467735290527,0.74
99930384278071,0.744866847991943,0.74
99930384278071,0.757296562194824,0.76
99930384278071,0.766333341598511,0.77
99930384278071,0.810146808624268,0.81
99930384278071,0.794540166854858,0.79
99930384278071,0.793655872344971,0.79
99930384278071,0.78659987449646,0.79
99930462332303,0.784873485565185,0.78
99930544269559,0.782641172409058,0.78
99930544269559,0.78314208984375,0.78
99930544269559,0.785176038742065,0.79
99930544269559,0.787457704544067,0.79
99930544269559,0.751006126403809,0.75
99930544269559,0.789028882980347,0.79
99930544269559,0.77745509147644,0.78
99930544269559,0.769570112228394,0.77
99930544269559,0.758656024932861,0.76
99930544269559,0.769641160964966,0.77
99930544269559,0.857519626617431,0.86
99930544269559,0.777605533599854,0.78
99930544269559,0.818804502487183,0.82
99930544269559,0.969790935516357,0.97
99930544269559,0.801769018173218,0.8
99930544269559,0.846363544464111,0.85
99930544269559,0.94811224937439,0.95
99930544269559,0.844402074813843,0.84
99930544269559,0.86033821105957,0.86
99930544269559,0.863037824630737,0.86
99930544269559,0.83064866065979,0.83
